timestamp,mood,entry,ai_response,sentiment
,Negative,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about your exams and deadlines. It's completely normal to feel this way, but remember to take breaks, prioritize self-care, and reach out for support if needed.",Neutral
,Neutral,I’m not sure how I feel today. Just going through the motions.,I'm sorry to hear that you're feeling unsure today. It's okay to have days like this.,Neutral
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's okay to feel this way sometimes. Remember to take a deep breath and take things one step at a time.,Neutral
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Negative,Why does everything feel so hard lately?,"I'm sorry to hear that things have been feeling difficult for you lately. It's okay to feel this way, and I'm here to listen if you'd like to share more.",Neutral
,Negative,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about your upcoming exams and deadlines. It's completely normal to feel this way, but remember to take breaks, practice self-care, and reach out for support if needed.",Neutral
,Negative,I feel anxious about upcoming exams and deadlines.,"I understand how overwhelming exams and deadlines can feel. It's completely normal to feel anxious in these situations. Remember to take breaks, breathe, and prioritize self-care during this time.",Neutral
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful about the future. Hang in there!,Positive
,Neutral,Nothing special happened today. Just a regular day.,It's okay to have regular days. They are important too.,Neutral
,Negative,I feel anxious about upcoming exams and deadlines.,I understand how overwhelming exams and deadlines can feel. Remember to take breaks and practice self-care during this stressful time.,Neutral
,Neutral,Nothing special happened today. Just a regular day.,It's okay to have regular days. They can be a nice break from the chaos of life.,Neutral
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful for the future. Keep holding onto that positivity.,Positive
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's completely normal to feel that way at times. Remember to take a few deep breaths and try to break things down into smaller tasks to make them more manageable.,Neutral
,Positive,I feel proud of myself for completing my tasks.,That's wonderful to hear! You should be proud of your hard work and accomplishments.,Positive
,Neutral,I’m not sure how I feel today. Just going through the motions.,I'm sorry to hear that you're feeling this way. It's okay to have days where you're not sure how you feel. Take some time for yourself and try to reflect on your emotions.,Neutral
,Positive,I had a relaxing afternoon reading and sipping tea.,It sounds like you had a peaceful and rejuvenating afternoon.,Positive
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,Neutral,I’m not sure how I feel today. Just going through the motions.,I'm sorry to hear that you're feeling this way. It's okay to have days where you're not quite sure how you feel. Remember to take care of yourself and reach out for support if needed.,Neutral
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Neutral,Nothing special happened today. Just a regular day.,It's okay to have regular days sometimes. Tomorrow is a new opportunity for something special.,Neutral
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Negative,I'm feeling really overwhelmed and can't focus.,"I'm sorry to hear that you're feeling overwhelmed. It's normal to feel this way at times, but remember that it's okay to take a break and ask for help if you need it.",Neutral
,Neutral,I’m not sure how I feel today. Just going through the motions.,I'm sorry to hear that you're feeling this way. It's okay to not be sure of your emotions sometimes.,Neutral
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It sounds like you're going through a tough time.,Negative
,Positive,I feel proud of myself for completing my tasks.,That's wonderful to hear! You should definitely be proud of yourself for completing your tasks.,Positive
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's completely normal to feel that way sometimes. Remember to take a break and take care of yourself. You've got this!,Neutral
,Positive,I had a relaxing afternoon reading and sipping tea.,It sounds like you had a peaceful and enjoyable afternoon.,Positive
,Negative,I feel anxious about upcoming exams and deadlines.,I understand how stressful exams and deadlines can be. It's important to take care of yourself during this time.,Neutral
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Negative,Why does everything feel so hard lately?,I'm sorry to hear that things have been feeling difficult for you lately. It's okay to feel overwhelmed sometimes.,Neutral
,Neutral,Nothing special happened today. Just a regular day.,It's okay to have regular days sometimes. They are necessary for balance.,Neutral
,Positive,I had a relaxing afternoon reading and sipping tea.,It sounds like you had a lovely and peaceful afternoon.,Positive
,Negative,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about your upcoming exams and deadlines. It's completely normal to feel this way, but remember to take breaks and practice self-care during this stressful time.",Neutral
,Neutral,I’m not sure how I feel today. Just going through the motions.,I'm sorry to hear that you're feeling this way. It's okay to have days where you're not sure how you feel. Take some time for yourself and try to do something that brings you comfort.,Neutral
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Positive,I had a relaxing afternoon reading and sipping tea.,It sounds like you had a lovely and peaceful afternoon!,Positive
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It sounds like you're going through a tough time.,Negative
,Neutral,I’m not sure how I feel today. Just going through the motions.,I'm sorry to hear that you're feeling unsure today. It's okay to have days where you're just going through the motions. Take some time for yourself and try to reflect on what might be causing these feelings.,Neutral
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Neutral,Nothing special happened today. Just a regular day.,It's okay to have regular days too. They can be a nice break from the chaos of life.,Neutral
,Positive,I feel proud of myself for completing my tasks.,That's great to hear! It's always a good feeling to accomplish your tasks.,Positive
,Neutral,Nothing special happened today. Just a regular day.,It's okay to have regular days too. They can be a nice break from the chaos of life.,Neutral
,Negative,Why does everything feel so hard lately?,I'm sorry to hear that things have been feeling difficult for you lately. It's okay to feel this way and remember that you're not alone in your struggles.,Neutral
,Neutral,I’m not sure how I feel today. Just going through the motions.,"It's okay to have days like this, where you're not quite sure how you feel. Remember to take some time for yourself and reflect on your emotions.",Neutral
,Neutral,I’m not sure how I feel today. Just going through the motions.,It's okay to have days like that. Remember to be gentle with yourself and take things one step at a time.,Neutral
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's totally normal to feel that way sometimes.,Neutral
,Positive,I feel proud of myself for completing my tasks.,That's fantastic to hear! Celebrate your accomplishments and keep up the good work.,Positive
,Positive,I feel proud of myself for completing my tasks.,That's fantastic to hear! It's always great to feel accomplished after completing your tasks.,Positive
,Negative,Why does everything feel so hard lately?,I'm sorry to hear that things have been feeling difficult for you lately. It's okay to feel this way sometimes.,Neutral
,Positive,I had a relaxing afternoon reading and sipping tea.,It sounds like you had a peaceful afternoon. That sounds lovely.,Positive
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's completely normal to feel this way sometimes.,Neutral
,Neutral,Nothing special happened today. Just a regular day.,It's okay to have regular days too. Take care of yourself.,Neutral
,Positive,I feel proud of myself for completing my tasks.,That's wonderful to hear! You should definitely be proud of your hard work.,Positive
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling so overwhelmed. It's important to take care of yourself during challenging times. Remember to reach out for support if you need it.,Neutral
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Negative,Why does everything feel so hard lately?,I'm sorry to hear that everything feels hard for you lately. It's okay to feel this way sometimes.,Neutral
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. Remember to take a moment to breathe and prioritize what needs to be done first. You've got this!,Neutral
,Positive,I feel proud of myself for completing my tasks.,That's wonderful to hear! You should definitely feel proud of yourself for completing your tasks.,Positive
,Neutral,I’m not sure how I feel today. Just going through the motions.,It's okay to have days like that. Remember to take care of yourself and reach out if you need support.,Neutral
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's completely normal to feel this way sometimes.,Neutral
,Positive,I feel proud of myself for completing my tasks.,That's great to hear! You should definitely feel proud of your accomplishments.,Positive
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's okay to feel this way sometimes.,Neutral
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It's important to prioritize your well-being and seek support when needed.,Neutral
,Neutral,I’m not sure how I feel today. Just going through the motions.,It's okay to have days like that. Remember to take care of yourself and reach out if you need support.,Neutral
,Positive,I had a relaxing afternoon reading and sipping tea.,That sounds like a lovely way to spend an afternoon. I hope it brought you some peace and relaxation.,Positive
,Negative,I'm feeling really overwhelmed and can't focus.,"I'm sorry to hear that you're feeling overwhelmed. It's okay to feel this way sometimes, and remember that it's important to take care of yourself.",Neutral
,Positive,I feel proud of myself for completing my tasks.,That's wonderful to hear! Celebrate your accomplishments and continue to be proud of yourself.,Positive
,Neutral,Nothing special happened today. Just a regular day.,It's okay to have regular days sometimes. They help us appreciate the special ones even more.,Neutral
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's completely normal to feel this way at times.,Neutral
,Neutral,Nothing special happened today. Just a regular day.,It's okay to have regular days sometimes. They help us appreciate the more special moments.,Neutral
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Negative,Why does everything feel so hard lately?,"I'm sorry to hear that you're feeling this way. It's okay to have difficult moments, but remember that you are capable of overcoming them.",Neutral
,Positive,I feel proud of myself for completing my tasks.,That's wonderful to hear! It's important to acknowledge and celebrate your achievements.,Positive
,Negative,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about your upcoming exams and deadlines. It's completely normal to feel this way, but remember to take breaks, breathe, and do your best. You're capable of handling it all.",Neutral
,Positive,I feel proud of myself for completing my tasks.,That's a great accomplishment! Keep up the good work.,Positive
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful for the future. Hang in there!,Positive
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's completely normal to struggle with focus at times.,Neutral
,Negative,I'm exhausted. I don’t know how much more I can take.,"I'm sorry to hear that you're feeling this way. It's okay to feel exhausted sometimes, but remember to take care of yourself and reach out for support if you need it.",Neutral
,Negative,I'm exhausted. I don’t know how much more I can take.,"I'm sorry to hear that you're feeling this way. It's okay to feel exhausted, but remember to take care of yourself and reach out for support if you need it.",Neutral
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It's okay to feel overwhelmed at times. Remember to take care of yourself and reach out for support when needed.,Neutral
,Neutral,I’m not sure how I feel today. Just going through the motions.,It's okay to have days like that. Remember to be kind to yourself and take things one step at a time.,Neutral
,Positive,I feel proud of myself for completing my tasks.,That's great to hear! It's always a wonderful feeling to accomplish your tasks. Keep up the good work!,Positive
,Negative,Why does everything feel so hard lately?,"I'm sorry to hear that things have been feeling difficult for you lately. It's okay to feel this way, and I'm here to listen if you want to talk more about it.",Neutral
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It's okay to feel exhausted sometimes. Remember to take care of yourself and reach out for support if you need it.,Neutral
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. Remember to take care of yourself and reach out for support when needed.,Neutral
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Negative,Why does everything feel so hard lately?,I'm sorry to hear that everything feels so hard for you right now. It's okay to feel that way sometimes. Remember to take care of yourself and reach out for support if you need it.,Neutral
,Neutral,Nothing special happened today. Just a regular day.,"It's okay to have regular days, they can be just as important as the special ones.",Neutral
,Neutral,I’m not sure how I feel today. Just going through the motions.,I'm sorry to hear that you're feeling this way. It's okay to have days where you're just going through the motions.,Neutral
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there.,Positive
,Neutral,I’m not sure how I feel today. Just going through the motions.,I'm sorry to hear that you're feeling this way. It's okay to have days where you're just going through the motions.,Neutral
,Positive,I had a relaxing afternoon reading and sipping tea.,It sounds like you had a peaceful and calming afternoon.,Positive
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It's important to take care of yourself during difficult times.,Neutral
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there.,Positive
,Negative,Why does everything feel so hard lately?,"I'm sorry to hear that things have been feeling difficult for you lately. It's okay to feel this way, and I'm here to listen if you want to talk more about it.",Neutral
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It's important to take care of yourself and reach out for support when needed.,Neutral
,Negative,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about your upcoming exams and deadlines. It's completely normal to feel this way, but remember to take breaks and practice self-care during this stressful time.",Neutral
,Positive,Today was a great day! I had fun with my friends.,It's wonderful to hear that you had a great day with your friends!,Positive
,Negative,Why does everything feel so hard lately?,"I'm sorry to hear that things have been feeling difficult for you lately. It's okay to feel this way, and I'm here to listen if you need to talk more about it.",Neutral
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's okay to feel this way sometimes.,Negative
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It's important to take care of yourself during challenging times.,Neutral
,Negative,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about the upcoming exams and deadlines. It's completely normal to feel this way, but remember to take care of yourself and reach out for support if needed.",Neutral
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's okay to feel this way sometimes.,Neutral
,Negative,Why does everything feel so hard lately?,I'm sorry to hear that things have been feeling difficult for you lately. It's okay to feel overwhelmed sometimes.,Neutral
,Negative,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about your exams and deadlines. It's completely normal to feel this way, but remember to take breaks, breathe, and prioritize self-care during this challenging time.",Neutral
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's completely normal to feel this way at times. Remember to take some deep breaths and take things one step at a time.,Neutral
,Neutral,Nothing special happened today. Just a regular day.,"It's okay to have regular days, they are just as important as the exciting ones.",Neutral
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,Negative,Why does everything feel so hard lately?,"I'm sorry to hear that everything feels so hard lately. It's okay to feel that way, and I'm here to listen.",Neutral
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's completely normal to feel this way sometimes. Remember to take a deep breath and try to break things down into smaller tasks. You've got this!,Neutral
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Keep holding on to that positivity.,Positive
,Negative,I feel anxious about upcoming exams and deadlines.,"I understand how stressful exams and deadlines can be. Remember to take breaks, breathe, and prioritize self-care during this time.",Neutral
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's okay to feel this way sometimes.,Neutral
,Neutral,Nothing special happened today. Just a regular day.,It's okay to have regular days sometimes. They can be just as important for rest and recharge.,Neutral
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Positive,I had a relaxing afternoon reading and sipping tea.,It sounds like you had a peaceful and rejuvenating afternoon. I'm glad you were able to take some time for yourself.,Positive
,Negative,I'm exhausted. I don’t know how much more I can take.,"I'm sorry to hear that you're feeling this way. It's okay to feel exhausted sometimes, but please remember to take care of yourself and reach out for support if you need it.",Neutral
,Neutral,Nothing special happened today. Just a regular day.,I understand that not every day is filled with excitement. It's okay to have regular days too.,Neutral
,Positive,I feel proud of myself for completing my tasks.,That's great to hear! It's always rewarding to accomplish your tasks and feel proud of yourself.,Positive
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It's important to take care of yourself and know when to ask for help.,Neutral
,Positive,I feel proud of myself for completing my tasks.,That's great to hear! You should definitely feel proud of your accomplishments.,Positive
,Neutral,Nothing special happened today. Just a regular day.,It's okay to have regular days too. Sometimes it's the quiet moments that bring the most peace.,Neutral
,Neutral,I’m not sure how I feel today. Just going through the motions.,I'm sorry to hear that you're feeling that way. It's okay to have days where you're just going through the motions.,Neutral
,Positive,I feel proud of myself for completing my tasks.,That's great to hear! It's important to acknowledge and celebrate your accomplishments.,Positive
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,Positive,I feel proud of myself for completing my tasks.,I'm glad to hear that you're feeling proud of yourself for accomplishing your tasks. It's important to celebrate your achievements!,Positive
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,Positive,I feel proud of myself for completing my tasks.,That's wonderful to hear! It's always a great feeling to accomplish your tasks and feel proud of yourself.,Positive
,Negative,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about your upcoming exams and deadlines. It's completely normal to feel this way, but I believe in your ability to handle the challenges ahead.",Neutral
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Neutral,Nothing special happened today. Just a regular day.,I understand that not every day is filled with excitement and that's okay.,Neutral
,Positive,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Stay positive!,Positive
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling exhausted. It's important to take care of yourself during challenging times.,Neutral
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It's okay to not be okay sometimes. Remember to take care of yourself and reach out for support when needed.,Negative
,Neutral,Nothing special happened today. Just a regular day.,It's okay to have regular days too. Take some time to relax and recharge.,Neutral
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It's important to take care of yourself and reach out for support when needed.,Neutral
,Positive,I feel proud of myself for completing my tasks.,That's wonderful to hear! It's important to acknowledge and celebrate your accomplishments.,Positive
,Neutral,Nothing special happened today. Just a regular day.,It's okay to have regular days sometimes. They can be a nice break from the chaos of life.,Neutral
,Negative,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about your upcoming exams and deadlines. It's completely normal to feel this way, but remember that you are capable and you've got this!",Neutral
,Positive,I'm hopeful things will improve soon.,It's great to hear that you're feeling hopeful for the future. Keep holding onto that optimism.,Positive
,Positive,I had a relaxing afternoon reading and sipping tea.,That sounds like a lovely way to spend an afternoon!,Positive
,Positive,I feel proud of myself for completing my tasks.,That's wonderful to hear! Congratulations on completing your tasks.,Positive
,Neutral,I’m not sure how I feel today. Just going through the motions.,It's okay to have days like that. Take some time for yourself and remember to be gentle with yourself.,Neutral
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Neutral,I’m not sure how I feel today. Just going through the motions.,It's okay to have days where you feel like you're just going through the motions. Remember to be kind to yourself during these times.,Neutral
,Negative,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about your exams and deadlines. It's completely normal to feel that way, but remember to take breaks, practice self-care, and reach out for support if needed.",Neutral
,Positive,I feel proud of myself for completing my tasks.,That's fantastic to hear! You should definitely be proud of your accomplishments.,Positive
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It sounds like you're going through a tough time.,Negative
,Negative,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about the upcoming exams and deadlines. It's completely normal to feel that way, but remember to take things one step at a time and be kind to yourself during this stressful period.",Neutral
,Negative,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about your upcoming exams and deadlines. It's completely normal to feel this way, but remember that you are capable and prepared to tackle these challenges. Take some deep breaths and break down your tasks into manageable steps.",Neutral
,Negative,I feel anxious about upcoming exams and deadlines.,I understand how stressful exams and deadlines can be. Remember to take breaks and practice self-care during this busy time.,Neutral
,Negative,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It's okay to feel exhausted and overwhelmed at times.,Neutral
,Neutral,Nothing special happened today. Just a regular day.,"It's okay to have regular days, they are important too. Take care of yourself.",Neutral
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's completely normal to feel this way at times.,Neutral
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's completely normal to feel that way at times. Remember to take a break and prioritize self-care.,Neutral
,Negative,Why does everything feel so hard lately?,I'm sorry to hear that things have been feeling difficult for you lately. It's important to remember that it's okay to feel this way and that you're not alone in experiencing these challenges.,Neutral
,Negative,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's completely normal to feel this way at times.,Neutral
,Positive,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,Positive,I feel proud of myself for completing my tasks.,That's great to hear! You should definitely feel proud of your accomplishments.,Positive
